jarak (m),rssi (dBm)
313.33333333333337,-95
313.8666666666667,-95
314.66666666666663,-96
317.33333333333337,-101
318.93333333333334,-96
326.6666666666667,-93
327.2,-94
327.73333333333335,-93
330.93333333333334,-96
337.6,-96
337.8666666666667,-95
338.4,-96
338.9333333333333,-93
339.2,-94
340.0,-101
340.53333333333336,-99
342.1333333333333,-96
350.93333333333334,-99
351.73333333333335,-97
354.6666666666667,-96
355.2,-96
357.3333333333333,-94
360.8,-95
362.93333333333334,-97
368.0,-95
374.40000000000003,-96
381.33333333333337,-98
383.4666666666667,-96
386.6666666666667,-96
386.93333333333334,-97
388.26666666666665,-97
452.79999999999995,-98
453.3333333333333,-101
453.6,-97
454.1333333333333,-98
455.4666666666667,-99
456.0,-101
456.26666666666665,-97
459.73333333333335,-102
463.2,-101
465.3333333333333,-98
466.1333333333333,-99
466.6666666666667,-98
467.2,-95
468.26666666666665,-97
489.8666666666667,-100
490.4,-98
491.20000000000005,-102
505.4166666666667,-95
505.52777777777777,-95
505.55555555555554,-94
505.6111111111111,-98
505.69444444444446,-95
506.8333333333333,-95
509.05555555555554,-99
509.47222222222223,-95
509.52777777777777,-95
509.55555555555554,-99
509.75,-94
509.77777777777777,-96
506.1896551724138,-96
500.32758620689657,-96
499.44827586206895,-100
497.6896551724138,-100
447.2758620689655,-94
446.6896551724138,-95
446.3965517241379,-93
445.8103448275862,-92
442.58620689655174,-94
438.7758620689655,-97
437.3103448275862,-93
436.4310344827586,-93
434.37931034482756,-94
434.08620689655174,-94
432.62068965517244,-96
432.0344827586207,-96
430.5689655172414,-97
426.4655172413793,-92
424.12068965517244,-98
423.5344827586207,-97
422.65517241379314,-96
422.0689655172414,-96
421.7758620689655,-93
420.6034482758621,-93
419.4310344827586,-94
418.8448275862069,-94
418.2586206896552,-90
417.37931034482756,-91
416.7931034482759,-92
416.5,-92
415.91379310344826,-91
415.0344827586207,-92
412.98275862068965,-92
406.5344827586207,-93
405.94827586206895,-92
405.6551724137931,-94
405.0689655172414,-92
404.1896551724138,-92
403.6034482758621,-94
402.7241379310345,-93
401.84482758620686,-93
401.2586206896552,-93
400.67241379310343,-93
399.7931034482759,-97
398.91379310344826,-91
398.32758620689657,-92
397.44827586206895,-98
396.86206896551727,-94
395.98275862068965,-93
395.1034482758621,-93
394.51724137931035,-93
394.2241379310345,-97
393.6379310344828,-98
393.34482758620686,-95
392.7586206896552,-94
392.1724137931035,-93
391.87931034482756,-91
391.2931034482759,-91
390.41379310344826,-92
389.82758620689657,-92
388.94827586206895,-93
388.36206896551727,-92
388.0689655172414,-92
387.1896551724138,-92
386.6034482758621,-93
385.7241379310345,-93
385.1379310344828,-92
384.55172413793105,-93
383.6724137931035,-92
383.37931034482756,-90
382.2068965517241,-92
381.91379310344826,-93
380.44827586206895,-93
379.8620689655172,-92
379.5689655172414,-92
378.98275862068965,-92
378.1034482758621,-92
377.51724137931035,-94
347.62068965517244,-89
347.3275862068965,-94
346.15517241379314,-90
345.2758620689655,-89
344.98275862068965,-94
343.51724137931035,-90
342.9310344827586,-89
342.34482758620686,-89
341.4655172413793,-90
340.58620689655174,-88
339.7068965517241,-88
339.12068965517244,-90
338.5344827586207,-88
337.3620689655172,-89
