jarak_meter,rata_rssi,jumlah_data,jumlah_invalid_data,persentase_invalid_data,kategori
137,-82.2,5,0,0.0,Main Route
138,-87.5,2,0,0.0,Main Route
139,-83.25,4,0,0.0,Main Route
140,-84.2,5,0,0.0,Main Route
141,-85.0,4,0,0.0,Main Route
142,-83.0,3,0,0.0,Main Route
143,-84.8,5,0,0.0,Main Route
144,-81.33,3,0,0.0,Main Route
145,-88.5,2,0,0.0,Main Route
146,-89.0,1,0,0.0,Main Route
147,-94.33,3,0,0.0,Main Route
148,-93.0,2,0,0.0,Main Route
149,-87.5,2,0,0.0,Main Route
150,-88.5,2,0,0.0,Main Route
151,-90.0,1,0,0.0,Main Route
152,-89.0,1,1,100.0,Main Route
153,-89.67,3,0,0.0,Main Route
154,-94.0,2,1,50.0,Main Route
155,-87.0,1,0,0.0,Main Route
156,-93.0,1,0,0.0,Main Route
157,-89.0,3,0,0.0,Main Route
158,-88.5,2,0,0.0,Main Route
159,-86.67,3,0,0.0,Main Route
160,-88.5,2,0,0.0,Main Route
161,-89.0,1,0,0.0,Main Route
162,-88.5,2,0,0.0,Main Route
163,-89.5,2,0,0.0,Main Route
164,-91.0,2,0,0.0,Main Route
165,-87.33,3,0,0.0,Main Route
166,-85.0,1,0,0.0,Main Route
167,-85.5,2,0,0.0,Main Route
168,-88.0,1,0,0.0,Main Route
169,-87.0,2,0,0.0,Main Route
170,-87.33,3,0,0.0,Main Route
171,-84.4,5,0,0.0,Main Route
172,-84.5,4,0,0.0,Main Route
173,-84.75,4,0,0.0,Main Route
174,-86.33,3,0,0.0,Main Route
175,-85.75,4,0,0.0,Main Route
176,-83.0,4,0,0.0,Main Route
177,-83.75,4,0,0.0,Main Route
178,-85.5,4,0,0.0,Main Route
179,-85.75,4,0,0.0,Main Route
180,-86.67,3,0,0.0,Main Route
181,-83.67,3,0,0.0,Main Route
182,-86.0,3,0,0.0,Main Route
183,-85.8,5,0,0.0,Main Route
184,-87.5,2,0,0.0,Main Route
185,-84.0,1,0,0.0,Main Route
186,-83.0,2,0,0.0,Main Route
187,-84.0,1,0,0.0,Main Route
188,-83.0,1,0,0.0,Main Route
189,-85.5,2,0,0.0,Main Route
190,-85.0,1,0,0.0,Main Route
191,-86.5,2,0,0.0,Main Route
192,-85.0,2,0,0.0,Main Route
193,-85.0,2,0,0.0,Main Route
194,-84.0,1,0,0.0,Main Route
195,-85.0,1,0,0.0,Main Route
196,-85.67,3,0,0.0,Main Route
197,-86.0,1,0,0.0,Main Route
198,-86.0,2,0,0.0,Main Route
199,-87.0,2,0,0.0,Main Route
200,-86.0,1,0,0.0,Main Route
201,-87.5,2,0,0.0,Main Route
202,-87.25,4,0,0.0,Main Route
203,-88.0,2,0,0.0,Main Route
204,-88.0,3,0,0.0,Main Route
205,-89.0,3,0,0.0,Main Route
206,-92.0,4,0,0.0,Main Route
207,-91.25,4,0,0.0,Main Route
208,-91.0,3,0,0.0,Main Route
209,-92.75,4,0,0.0,Main Route
210,-94.5,2,0,0.0,Main Route
211,-93.8,5,0,0.0,Main Route
212,-91.25,4,0,0.0,Main Route
213,-92.5,4,0,0.0,Main Route
214,-94.0,2,0,0.0,Main Route
215,-91.0,4,0,0.0,Main Route
216,-91.67,3,0,0.0,Main Route
217,-90.0,2,0,0.0,Main Route
218,-91.67,3,0,0.0,Main Route
219,-94.0,4,0,0.0,Main Route
220,-91.0,3,0,0.0,Main Route
221,-94.75,4,1,25.0,Main Route
222,-95.5,4,0,0.0,Main Route
223,-95.33,3,0,0.0,Main Route
224,-90.0,1,0,0.0,Main Route
225,-91.8,5,0,0.0,Main Route
226,-90.25,4,0,0.0,Main Route
227,-95.5,4,0,0.0,Main Route
228,-92.75,4,2,50.0,Main Route
229,-91.67,3,0,0.0,Main Route
230,-90.0,4,0,0.0,Main Route
231,-90.75,4,0,0.0,Main Route
232,-90.33,3,0,0.0,Main Route
233,-92.0,4,1,25.0,Main Route
234,-91.75,4,0,0.0,Main Route
235,-92.8,5,0,0.0,Main Route
236,-89.0,2,0,0.0,Main Route
237,-92.67,3,0,0.0,Main Route
238,-94.0,3,0,0.0,Main Route
239,-88.25,4,0,0.0,Main Route
240,-88.5,2,0,0.0,Main Route
241,-88.75,4,1,25.0,Main Route
242,-89.5,4,0,0.0,Main Route
